sex,race,age,county,total
male,other,65-74,01029,5
male,other,75+,01029,0
male,white,0-17,01029,1633
male,white,18-34,01029,1349
male,white,35-64,01029,2758
male,white,65-74,01029,784
male,white,75+,01029,494
female,black,0-17,01031,994
female,black,18-34,01031,905
female,black,35-64,01031,1817
female,black,65-74,01031,460
female,black,75+,01031,289
female,other,0-17,01031,1205
female,other,18-34,01031,812
female,other,35-64,01031,1116
female,other,65-74,01031,238
female,other,75+,01031,146
female,white,0-17,01031,4130
female,white,18-34,01031,3681
female,white,35-64,01031,7466
female,white,65-74,01031,2242
female,white,75+,01031,1762
male,black,0-17,01031,1211
male,black,18-34,01031,1041
male,black,35-64,01031,1735
male,black,65-74,01031,363
male,black,75+,01031,176
male,other,0-17,01031,1093
male,other,18-34,01031,560
male,other,35-64,01031,957
male,other,65-74,01031,259
male,other,75+,01031,74
male,white,0-17,01031,4412
male,white,18-34,01031,4017
male,white,35-64,01031,7802
male,white,65-74,01031,1978
male,white,75+,01031,1290
female,black,0-17,01033,698
female,black,18-34,01033,1125
female,black,35-64,01033,1931
female,black,65-74,01033,594
female,black,75+,01033,355
female,other,0-17,01033,890
female,other,18-34,01033,386
female,other,35-64,01033,461
female,other,65-74,01033,174
female,other,75+,01033,48
female,white,0-17,01033,4374
female,white,18-34,01033,4400
female,white,35-64,01033,9036
female,white,65-74,01033,2965
female,white,75+,01033,2427
male,black,0-17,01033,1290
male,black,18-34,01033,779
male,black,35-64,01033,1649
male,black,65-74,01033,450
male,black,75+,01033,232
male,other,0-17,01033,518
male,other,18-34,01033,365
male,other,35-64,01033,647
male,other,65-74,01033,50
male,other,75+,01033,22
male,white,0-17,01033,4541
male,white,18-34,01033,4342
male,white,35-64,01033,8616
male,white,65-74,01033,2585
male,white,75+,01033,1698
female,black,0-17,01035,725
female,black,18-34,01035,589
female,black,35-64,01035,1129
female,black,65-74,01035,276
female,black,75+,01035,295
female,other,0-17,01035,50
female,other,18-34,01035,18
female,other,35-64,01035,74
female,other,65-74,01035,44
female,other,75+,01035,0
female,white,0-17,01035,546
female,white,18-34,01035,423
female,white,35-64,01035,1048
female,white,65-74,01035,450
female,white,75+,01035,447
male,black,0-17,01035,425
male,black,18-34,01035,594
male,black,35-64,01035,741
male,black,65-74,01035,274
male,black,75+,01035,173
male,other,0-17,01035,125
male,other,18-34,01035,66
male,other,35-64,01035,71
male,other,65-74,01035,6
male,other,75+,01035,6
male,white,0-17,01035,434
male,white,18-34,01035,470
male,white,35-64,01035,1109
male,white,65-74,01035,456
male,white,75+,01035,347
female,black,0-17,01037,176
female,black,18-34,01037,207
female,black,35-64,01037,792
female,black,65-74,01037,168
female,black,75+,01037,153
female,other,0-17,01037,161
female,other,18-34,01037,0
female,other,35-64,01037,71
female,other,65-74,01037,58
female,other,75+,01037,2
female,white,0-17,01037,422
female,white,18-34,01037,521
female,white,35-64,01037,1365
female,white,65-74,01037,531
female,white,75+,01037,407
male,black,0-17,01037,378
male,black,18-34,01037,367
male,black,35-64,01037,543
male,black,65-74,01037,181
male,black,75+,01037,100
male,other,0-17,01037,89
male,other,18-34,01037,77
male,other,35-64,01037,128
male,other,65-74,01037,7
male,other,75+,01037,1
male,white,0-17,01037,516
male,white,18-34,01037,492
male,white,35-64,01037,1460
male,white,65-74,01037,588
male,white,75+,01037,362
female,black,0-17,01039,565
female,black,18-34,01039,476
female,black,35-64,01039,947
female,black,65-74,01039,344
female,black,75+,01039,98
female,other,0-17,01039,335
female,other,18-34,01039,270
female,other,35-64,01039,331
female,other,65-74,01039,50
female,other,75+,01039,49
female,white,0-17,01039,3148
female,white,18-34,01039,2749
female,white,35-64,01039,6020
female,white,65-74,01039,2088
female,white,75+,01039,2005
male,black,0-17,01039,411
male,black,18-34,01039,587
male,black,35-64,01039,713
male,black,65-74,01039,180
male,black,75+,01039,96
male,other,0-17,01039,404
male,other,18-34,01039,160
male,other,35-64,01039,251
male,other,65-74,01039,49
male,other,75+,01039,6
male,white,0-17,01039,3456
male,white,18-34,01039,2738
male,white,35-64,01039,5838
male,white,65-74,01039,1955
male,white,75+,01039,1328
female,black,0-17,01041,381
female,black,18-34,01041,328
female,black,35-64,01041,678
female,black,65-74,01041,170
female,black,75+,01041,121
female,other,0-17,01041,163
female,other,18-34,01041,54
female,other,35-64,01041,122
female,other,65-74,01041,51
female,other,75+,01041,10
female,white,0-17,01041,938
female,white,18-34,01041,877
female,white,35-64,01041,1767
female,white,65-74,01041,644
female,white,75+,01041,474
male,black,0-17,01041,275
male,black,18-34,01041,401
male,black,35-64,01041,487
male,black,65-74,01041,156
male,black,75+,01041,74
male,other,0-17,01041,223
male,other,18-34,01041,22
male,other,35-64,01041,99
male,other,65-74,01041,35
male,other,75+,01041,14
male,white,0-17,01041,1036
male,white,18-34,01041,900
male,white,35-64,01041,1775
male,white,65-74,01041,544
male,white,75+,01041,325
female,black,0-17,01043,106
female,black,18-34,01043,74
female,black,35-64,01043,105
female,black,65-74,01043,19
female,black,75+,01043,92
female,other,0-17,01043,1381
female,other,18-34,01043,876
female,other,35-64,01043,1006
female,other,65-74,01043,403
female,other,75+,01043,144
female,white,0-17,01043,8504
female,white,18-34,01043,7922
female,white,35-64,01043,15836
female,white,65-74,01043,4829
female,white,75+,01043,3882
male,black,0-17,01043,107
male,black,18-34,01043,130
male,black,35-64,01043,250
male,black,65-74,01043,50
male,black,75+,01043,25
male,other,0-17,01043,1077
male,other,18-34,01043,816
male,other,35-64,01043,1134
male,other,65-74,01043,224
male,other,75+,01043,42
male,white,0-17,01043,8957
male,white,18-34,01043,8266
male,white,35-64,01043,15972
male,white,65-74,01043,4434
male,white,75+,01043,2800
female,black,0-17,01045,1333
female,black,18-34,01045,1489
female,black,35-64,01045,2141
female,black,65-74,01045,485
female,black,75+,01045,286
female,other,0-17,01045,721
female,other,18-34,01045,416
female,other,35-64,01045,909
female,other,65-74,01045,223
female,other,75+,01045,107
female,white,0-17,01045,3517
female,white,18-34,01045,3469
female,white,35-64,01045,6305
female,white,65-74,01045,2030
female,white,75+,01045,1687
male,black,0-17,01045,1438
male,black,18-34,01045,1295
male,black,35-64,01045,1547
male,black,65-74,01045,342
male,black,75+,01045,148
