state,race,sex,age,edu,total,repvote
01,white,male,70+,no hs,25567,0.643741436
01,white,male,70+,hs,60064,0.643741436
01,white,male,70+,some college,48577,0.643741436
01,white,male,70+,4-year college,36471,0.643741436
01,white,male,70+,post-grad,27575,0.643741436
01,black,female,18-29,no hs,10517,0.643741436
01,black,female,18-29,hs,40503,0.643741436
01,black,female,18-29,some college,58818,0.643741436
01,black,female,18-29,4-year college,13539,0.643741436
01,black,female,18-29,post-grad,3057,0.643741436
01,black,female,30-39,no hs,9053,0.643741436
01,black,female,30-39,hs,29236,0.643741436
01,black,female,30-39,some college,34636,0.643741436
01,black,female,30-39,4-year college,13632,0.643741436
01,black,female,30-39,post-grad,9126,0.643741436
01,black,female,40-49,no hs,9585,0.643741436
01,black,female,40-49,hs,26301,0.643741436
01,black,female,40-49,some college,30194,0.643741436
01,black,female,40-49,4-year college,12024,0.643741436
01,black,female,40-49,post-grad,11396,0.643741436
01,black,female,50-59,no hs,10232,0.643741436
01,black,female,50-59,hs,26453,0.643741436
01,black,female,50-59,some college,30389,0.643741436
01,black,female,50-59,4-year college,10758,0.643741436
01,black,female,50-59,post-grad,7923,0.643741436
01,black,female,60-69,no hs,11437,0.643741436
01,black,female,60-69,hs,27418,0.643741436
01,black,female,60-69,some college,28270,0.643741436
01,black,female,60-69,4-year college,10272,0.643741436
01,black,female,60-69,post-grad,6652,0.643741436
01,black,female,70+,no hs,17517,0.643741436
01,black,female,70+,hs,22249,0.643741436
01,black,female,70+,some college,14001,0.643741436
01,black,female,70+,4-year college,5861,0.643741436
01,black,female,70+,post-grad,5142,0.643741436
01,black,male,18-29,no hs,15988,0.643741436
01,black,male,18-29,hs,52149,0.643741436
01,black,male,18-29,some college,42035,0.643741436
01,black,male,18-29,4-year college,7052,0.643741436
01,black,male,18-29,post-grad,1005,0.643741436
01,black,male,30-39,no hs,13299,0.643741436
01,black,male,30-39,hs,30553,0.643741436
01,black,male,30-39,some college,22844,0.643741436
01,black,male,30-39,4-year college,9613,0.643741436
01,black,male,30-39,post-grad,3008,0.643741436
01,black,male,40-49,no hs,11849,0.643741436
01,black,male,40-49,hs,31116,0.643741436
01,black,male,40-49,some college,19838,0.643741436
01,black,male,40-49,4-year college,7670,0.643741436
01,black,male,40-49,post-grad,4504,0.643741436
01,black,male,50-59,no hs,12228,0.643741436
01,black,male,50-59,hs,31493,0.643741436
01,black,male,50-59,some college,18642,0.643741436
01,black,male,50-59,4-year college,5828,0.643741436
01,black,male,50-59,post-grad,3115,0.643741436
01,black,male,60-69,no hs,12041,0.643741436
01,black,male,60-69,hs,26858,0.643741436
01,black,male,60-69,some college,17941,0.643741436
01,black,male,60-69,4-year college,5844,0.643741436
01,black,male,60-69,post-grad,4007,0.643741436
01,black,male,70+,no hs,11509,0.643741436
01,black,male,70+,hs,13449,0.643741436
01,black,male,70+,some college,8655,0.643741436
01,black,male,70+,4-year college,3976,0.643741436
01,black,male,70+,post-grad,2774,0.643741436
01,other,female,18-29,no hs,2550,0.643741436
01,other,female,18-29,hs,7927,0.643741436
01,other,female,18-29,some college,10732,0.643741436
01,other,female,18-29,4-year college,3554,0.643741436
01,other,female,18-29,post-grad,648,0.643741436
01,other,female,30-39,no hs,1675,0.643741436
01,other,female,30-39,hs,2984,0.643741436
01,other,female,30-39,some college,5626,0.643741436
01,other,female,30-39,4-year college,3847,0.643741436
01,other,female,30-39,post-grad,2300,0.643741436
01,other,female,40-49,no hs,1377,0.643741436
01,other,female,40-49,hs,3080,0.643741436
01,other,female,40-49,some college,5479,0.643741436
01,other,female,40-49,4-year college,3311,0.643741436
01,other,female,40-49,post-grad,2258,0.643741436
01,other,female,50-59,no hs,2270,0.643741436
01,other,female,50-59,hs,3569,0.643741436
01,other,female,50-59,some college,4729,0.643741436
01,other,female,50-59,4-year college,2976,0.643741436
01,other,female,50-59,post-grad,2239,0.643741436
01,other,female,60-69,no hs,2026,0.643741436
01,other,female,60-69,hs,3264,0.643741436
01,other,female,60-69,some college,3863,0.643741436
01,other,female,60-69,4-year college,1968,0.643741436
01,other,female,60-69,post-grad,1649,0.643741436
01,other,female,70+,no hs,2824,0.643741436
01,other,female,70+,hs,3870,0.643741436
01,other,female,70+,some college,2087,0.643741436
01,other,female,70+,4-year college,1369,0.643741436
01,other,female,70+,post-grad,808,0.643741436
01,other,male,18-29,no hs,5067,0.643741436
01,other,male,18-29,hs,9304,0.643741436
01,other,male,18-29,some college,10860,0.643741436
01,other,male,18-29,4-year college,3003,0.643741436
01,other,male,18-29,post-grad,597,0.643741436
01,other,male,30-39,no hs,2649,0.643741436
01,other,male,30-39,hs,4119,0.643741436
01,other,male,30-39,some college,5484,0.643741436
01,other,male,30-39,4-year college,2677,0.643741436
01,other,male,30-39,post-grad,1993,0.643741436
01,other,male,40-49,no hs,1861,0.643741436
01,other,male,40-49,hs,2874,0.643741436
01,other,male,40-49,some college,5582,0.643741436
01,other,male,40-49,4-year college,1893,0.643741436
01,other,male,40-49,post-grad,2216,0.643741436
01,other,male,50-59,no hs,2402,0.643741436
01,other,male,50-59,hs,3764,0.643741436
01,other,male,50-59,some college,3369,0.643741436
01,other,male,50-59,4-year college,1888,0.643741436
01,other,male,50-59,post-grad,2336,0.643741436
01,other,male,60-69,no hs,2266,0.643741436
01,other,male,60-69,hs,2819,0.643741436
01,other,male,60-69,some college,2714,0.643741436
01,other,male,60-69,4-year college,1247,0.643741436
01,other,male,60-69,post-grad,1550,0.643741436
01,other,male,70+,no hs,1467,0.643741436
01,other,male,70+,hs,1635,0.643741436
01,other,male,70+,some college,1641,0.643741436
01,other,male,70+,4-year college,1141,0.643741436
01,other,male,70+,post-grad,905,0.643741436
02,white,female,18-29,no hs,1930,0.583856547
02,white,female,18-29,hs,9682,0.583856547
02,white,female,18-29,some college,11426,0.583856547
02,white,female,18-29,4-year college,6018,0.583856547
02,white,female,18-29,post-grad,1662,0.583856547
02,white,female,30-39,no hs,707,0.583856547
02,white,female,30-39,hs,5018,0.583856547
02,white,female,30-39,some college,11612,0.583856547
02,white,female,30-39,4-year college,8135,0.583856547
02,white,female,30-39,post-grad,6303,0.583856547
02,white,female,40-49,no hs,503,0.583856547
02,white,female,40-49,hs,4953,0.583856547
02,white,female,40-49,some college,7412,0.583856547
02,white,female,40-49,4-year college,6909,0.583856547
02,white,female,40-49,post-grad,4910,0.583856547
02,white,female,50-59,no hs,947,0.583856547
02,white,female,50-59,hs,5880,0.583856547
02,white,female,50-59,some college,9850,0.583856547
02,white,female,50-59,4-year college,6379,0.583856547
02,white,female,50-59,post-grad,3646,0.583856547
02,white,female,60-69,no hs,1073,0.583856547
02,white,female,60-69,hs,6615,0.583856547
02,white,female,60-69,some college,9728,0.583856547
02,white,female,60-69,4-year college,7380,0.583856547
02,white,female,60-69,post-grad,4175,0.583856547
02,white,female,70+,no hs,906,0.583856547
02,white,female,70+,hs,5832,0.583856547
02,white,female,70+,some college,6489,0.583856547
02,white,female,70+,4-year college,4244,0.583856547
02,white,female,70+,post-grad,3395,0.583856547
02,white,male,18-29,no hs,3355,0.583856547
02,white,male,18-29,hs,15247,0.583856547
02,white,male,18-29,some college,15403,0.583856547
02,white,male,18-29,4-year college,5297,0.583856547
02,white,male,18-29,post-grad,1009,0.583856547
02,white,male,30-39,no hs,1297,0.583856547
02,white,male,30-39,hs,9430,0.583856547
02,white,male,30-39,some college,13208,0.583856547
02,white,male,30-39,4-year college,7799,0.583856547
02,white,male,30-39,post-grad,3966,0.583856547
02,white,male,40-49,no hs,674,0.583856547
02,white,male,40-49,hs,7166,0.583856547
02,white,male,40-49,some college,12641,0.583856547
02,white,male,40-49,4-year college,6559,0.583856547
02,white,male,40-49,post-grad,3581,0.583856547
02,white,male,50-59,no hs,1441,0.583856547
02,white,male,50-59,hs,8855,0.583856547
02,white,male,50-59,some college,9941,0.583856547
02,white,male,50-59,4-year college,6492,0.583856547
02,white,male,50-59,post-grad,5150,0.583856547
02,white,male,60-69,no hs,1644,0.583856547
02,white,male,60-69,hs,8633,0.583856547
02,white,male,60-69,some college,13032,0.583856547
02,white,male,60-69,4-year college,5631,0.583856547
02,white,male,60-69,post-grad,4474,0.583856547
02,white,male,70+,no hs,844,0.583856547
02,white,male,70+,hs,4141,0.583856547
02,white,male,70+,some college,6951,0.583856547
02,white,male,70+,4-year college,4261,0.583856547
02,white,male,70+,post-grad,3933,0.583856547
02,black,female,18-29,no hs,13,0.583856547
02,black,female,18-29,hs,941,0.583856547
02,black,female,18-29,some college,624,0.583856547
02,black,female,18-29,4-year college,223,0.583856547
02,black,female,18-29,post-grad,0,0.583856547
02,black,female,30-39,no hs,1,0.583856547
02,black,female,30-39,hs,117,0.583856547
02,black,female,30-39,some college,388,0.583856547
02,black,female,30-39,4-year college,300,0.583856547
02,black,female,30-39,post-grad,183,0.583856547
02,black,female,40-49,no hs,0,0.583856547
02,black,female,40-49,hs,803,0.583856547
02,black,female,40-49,some college,238,0.583856547
02,black,female,40-49,4-year college,403,0.583856547
02,black,female,40-49,post-grad,561,0.583856547
02,black,female,50-59,no hs,28,0.583856547
02,black,female,50-59,hs,352,0.583856547
02,black,female,50-59,some college,231,0.583856547
02,black,female,50-59,4-year college,112,0.583856547
02,black,female,50-59,post-grad,67,0.583856547
02,black,female,60-69,no hs,51,0.583856547
02,black,female,60-69,hs,300,0.583856547
02,black,female,60-69,some college,339,0.583856547
02,black,female,60-69,4-year college,46,0.583856547
02,black,female,60-69,post-grad,83,0.583856547
02,black,female,70+,no hs,0,0.583856547
02,black,female,70+,hs,101,0.583856547
02,black,female,70+,some college,490,0.583856547
02,black,female,70+,4-year college,124,0.583856547
02,black,female,70+,post-grad,36,0.583856547
02,black,male,18-29,no hs,408,0.583856547
02,black,male,18-29,hs,1453,0.583856547
02,black,male,18-29,some college,465,0.583856547
02,black,male,18-29,4-year college,278,0.583856547
02,black,male,18-29,post-grad,0,0.583856547
02,black,male,30-39,no hs,185,0.583856547
02,black,male,30-39,hs,1197,0.583856547
02,black,male,30-39,some college,1048,0.583856547
02,black,male,30-39,4-year college,58,0.583856547
02,black,male,30-39,post-grad,207,0.583856547
02,black,male,40-49,no hs,341,0.583856547
02,black,male,40-49,hs,694,0.583856547
02,black,male,40-49,some college,396,0.583856547
02,black,male,40-49,4-year college,424,0.583856547
02,black,male,40-49,post-grad,0,0.583856547
02,black,male,50-59,no hs,36,0.583856547
02,black,male,50-59,hs,977,0.583856547
02,black,male,50-59,some college,740,0.583856547
02,black,male,50-59,4-year college,192,0.583856547
02,black,male,50-59,post-grad,160,0.583856547
02,black,male,60-69,no hs,61,0.583856547
02,black,male,60-69,hs,283,0.583856547
02,black,male,60-69,some college,74,0.583856547
02,black,male,60-69,4-year college,102,0.583856547
02,black,male,60-69,post-grad,110,0.583856547
02,black,male,70+,no hs,1,0.583856547
02,black,male,70+,hs,68,0.583856547
02,black,male,70+,some college,430,0.583856547
02,black,male,70+,4-year college,94,0.583856547
02,black,male,70+,post-grad,0,0.583856547
02,other,female,18-29,no hs,2642,0.583856547
02,other,female,18-29,hs,8395,0.583856547
02,other,female,18-29,some college,8226,0.583856547
02,other,female,18-29,4-year college,1633,0.583856547
02,other,female,18-29,post-grad,181,0.583856547
02,other,female,30-39,no hs,1645,0.583856547
02,other,female,30-39,hs,5260,0.583856547
02,other,female,30-39,some college,6416,0.583856547
02,other,female,30-39,4-year college,3292,0.583856547
02,other,female,30-39,post-grad,818,0.583856547
02,other,female,40-49,no hs,936,0.583856547
02,other,female,40-49,hs,3725,0.583856547
02,other,female,40-49,some college,5080,0.583856547
02,other,female,40-49,4-year college,2469,0.583856547
02,other,female,40-49,post-grad,741,0.583856547
02,other,female,50-59,no hs,1134,0.583856547
02,other,female,50-59,hs,4002,0.583856547
02,other,female,50-59,some college,4055,0.583856547
02,other,female,50-59,4-year college,2042,0.583856547
02,other,female,50-59,post-grad,942,0.583856547
02,other,female,60-69,no hs,1467,0.583856547
02,other,female,60-69,hs,3372,0.583856547
02,other,female,60-69,some college,3596,0.583856547
02,other,female,60-69,4-year college,1144,0.583856547
02,other,female,60-69,post-grad,567,0.583856547
02,other,female,70+,no hs,1854,0.583856547
02,other,female,70+,hs,1901,0.583856547
02,other,female,70+,some college,1752,0.583856547
02,other,female,70+,4-year college,775,0.583856547
02,other,female,70+,post-grad,249,0.583856547
02,other,male,18-29,no hs,4549,0.583856547
02,other,male,18-29,hs,11328,0.583856547
02,other,male,18-29,some college,7816,0.583856547
02,other,male,18-29,4-year college,1653,0.583856547
02,other,male,18-29,post-grad,75,0.583856547
02,other,male,30-39,no hs,2324,0.583856547
02,other,male,30-39,hs,7533,0.583856547
02,other,male,30-39,some college,5066,0.583856547
02,other,male,30-39,4-year college,1452,0.583856547
02,other,male,30-39,post-grad,623,0.583856547
02,other,male,40-49,no hs,1381,0.583856547
02,other,male,40-49,hs,5462,0.583856547
02,other,male,40-49,some college,3428,0.583856547
02,other,male,40-49,4-year college,1208,0.583856547
02,other,male,40-49,post-grad,671,0.583856547
02,other,male,50-59,no hs,1450,0.583856547
02,other,male,50-59,hs,4673,0.583856547
02,other,male,50-59,some college,4461,0.583856547
02,other,male,50-59,4-year college,1364,0.583856547
02,other,male,50-59,post-grad,431,0.583856547
02,other,male,60-69,no hs,845,0.583856547
02,other,male,60-69,hs,3662,0.583856547
02,other,male,60-69,some college,2863,0.583856547
02,other,male,60-69,4-year college,422,0.583856547
02,other,male,60-69,post-grad,421,0.583856547
02,other,male,70+,no hs,1137,0.583856547
02,other,male,70+,hs,1865,0.583856547
02,other,male,70+,some college,1505,0.583856547
02,other,male,70+,4-year college,474,0.583856547
02,other,male,70+,post-grad,271,0.583856547
04,white,female,18-29,no hs,29410,0.518900234
04,white,female,18-29,hs,84480,0.518900234
04,white,female,18-29,some college,137674,0.518900234
04,white,female,18-29,4-year college,67398,0.518900234
04,white,female,18-29,post-grad,12628,0.518900234
04,white,female,30-39,no hs,14627,0.518900234
04,white,female,30-39,hs,43777,0.518900234
04,white,female,30-39,some college,96639,0.518900234
